start_time;end_time;duration_ms;direction_class;speedA;speedB;GPIO1;GPIO2;GPIO3;GPIO4
1751443140122;1751443140264;142;stop;50;50;0;0;0;0
1751443140264;1751443140390;126;stop;0;50;0;0;0;0
1751443142977;1751443143108;131;stop;50;50;0;0;0;0
1751443143108;1751443143310;202;stop;0;50;0;0;0;0
1751443143880;1751443144027;147;stop;0;50;0;0;0;0
1751443146764;1751443146893;129;stop;0;50;0;0;0;0
1751443148234;1751443148352;118;stop;50;50;0;0;0;0
1751443148352;1751443148494;142;stop;0;50;0;0;0;0
1751443151849;1751443152099;250;stop;0;50;0;0;0;0
1751443152805;1751443152930;125;stop;0;50;0;0;0;0
1751443154312;1751443154470;158;stop;50;50;0;0;0;0
1751443154470;1751443154639;169;stop;0;50;0;0;0;0
1751443155465;1751443155578;113;stop;0;50;0;0;0;0
1751443159726;1751443159899;173;stop;50;50;0;0;0;0
1751443159899;1751443160032;133;stop;50;0;0;0;0;0
1751443162085;1751443162192;107;stop;50;50;0;0;0;0
1751443162192;1751443162293;101;stop;0;50;0;0;0;0
1751443163662;1751443163800;138;stop;0;50;0;0;0;0
1751443165727;1751443165860;133;stop;0;50;0;0;0;0
1751443167607;1751443167731;124;stop;0;50;0;0;0;0
1751443169092;1751443169253;161;stop;50;50;0;0;0;0
1751443170223;1751443170364;141;stop;0;50;0;0;0;0
1751443170364;1751443170591;227;stop;50;50;0;0;0;0
1751443170884;1751443171001;117;stop;0;50;0;0;0;0
1751443171921;1751443172142;221;stop;0;50;0;0;0;0
1751443180020;1751443180213;193;stop;50;0;0;0;0;0
1751443180835;1751443181037;202;stop;50;0;0;0;0;0
1751443182277;1751443182434;157;stop;50;50;0;0;0;0
1751443185413;1751443185594;181;stop;0;50;0;0;0;0
1751443186045;1751443186342;297;stop;0;50;0;0;0;0
1751443187576;1751443187760;184;stop;0;50;0;0;0;0
1751443187760;1751443188039;279;stop;50;50;0;0;0;0
1751443189618;1751443189806;188;stop;0;50;0;0;0;0
1751443191894;1751443192125;231;stop;0;50;0;0;0;0
1751443194975;1751443195263;288;stop;50;50;0;0;0;0
1751443195263;1751443195452;189;stop;50;0;0;0;0;0
1751443198614;1751443198790;176;stop;50;0;0;0;0;0
1751443199533;1751443199795;262;stop;50;50;0;0;0;0
1751443199795;1751443199955;160;stop;0;50;0;0;0;0
1751443202706;1751443202861;155;stop;0;50;0;0;0;0
1751443206353;1751443206505;152;stop;50;50;0;0;0;0
1751443206505;1751443206637;132;stop;0;50;0;0;0;0
1751443207393;1751443207536;143;stop;0;50;0;0;0;0
1751443208101;1751443208311;210;stop;0;50;0;0;0;0
1751443208654;1751443208761;107;stop;0;50;0;0;0;0
1751443210712;1751443210938;226;stop;0;50;0;0;0;0
1751443211728;1751443211837;109;stop;0;50;0;0;0;0
1751443212606;1751443212837;231;stop;50;50;0;0;0;0
1751443212837;1751443213042;205;stop;0;50;0;0;0;0
1751443214730;1751443215028;298;stop;0;50;0;0;0;0
1751443215289;1751443215402;113;stop;0;50;0;0;0;0
1751443218478;1751443218586;108;stop;50;0;0;0;0;0
1751443221946;1751443222077;131;stop;0;50;0;0;0;0
1751443223879;1751443224021;142;stop;0;50;0;0;0;0
