start_time;end_time;duration_ms;direction_class;speedA;speedB;GPIO1;GPIO2;GPIO3;GPIO4
1751442975184;1751442976190;1006;light_left;0;50;1;0;0;1
1751442976190;1751442976309;119;forward;50;50;1;0;0;1
1751442976309;1751442976909;600;stop;50;50;0;0;0;0
1751442976909;1751442977817;908;forward;50;50;1;0;0;1
1751442977817;1751442978470;653;stop;50;50;0;0;0;0
1751442978470;1751442978776;306;stop;0;50;0;0;0;0
1751442978776;1751442978989;213;light_left;0;50;1;0;0;1
1751442978989;1751442979690;701;stop;0;50;0;0;0;0
1751442979690;1751442979948;258;light_left;0;50;1;0;0;1
1751442979948;1751442980524;576;stop;50;50;0;0;0;0
1751442980524;1751442981351;827;forward;50;50;1;0;0;1
1751442981351;1751442983535;2184;light_left;0;50;1;0;0;1
1751442983535;1751442984032;497;stop;50;50;0;0;0;0
1751442984032;1751442984757;725;forward;50;50;1;0;0;1
1751442984757;1751442986013;1256;light_left;0;50;1;0;0;1
1751442986013;1751442986131;118;forward;50;50;1;0;0;1
1751442986131;1751442988832;2701;stop;50;50;0;0;0;0
1751442988832;1751442989514;682;backward;50;50;0;1;1;0
1751442989514;1751442990896;1382;stop;50;50;0;0;0;0
1751442990896;1751442991316;420;light_left;0;50;1;0;0;1
1751442991316;1751442991428;112;forward;50;50;1;0;0;1
1751442991428;1751442993262;1834;stop;50;50;0;0;0;0
1751442993262;1751442993433;171;sharp_left;50;50;0;1;0;1
1751442993433;1751442994200;767;stop;50;50;0;0;0;0
1751442994200;1751442994708;508;sharp_left;50;50;0;1;0;1
1751442994708;1751442995456;748;stop;50;50;0;0;0;0
1751442995456;1751442995766;310;sharp_left;50;50;0;1;0;1
1751442995766;1751442996826;1060;stop;50;50;0;0;0;0
1751442996826;1751442997492;666;forward;50;50;1;0;0;1
1751442997492;1751442998220;728;stop;50;50;0;0;0;0
1751442998220;1751442998547;327;forward;50;50;1;0;0;1
1751442998547;1751442999596;1049;stop;50;50;0;0;0;0
1751442999596;1751442999807;211;forward;50;50;1;0;0;1
1751442999807;1751443000856;1049;stop;50;50;0;0;0;0
1751443000856;1751443001485;629;stop;50;0;0;0;0;0
1751443001485;1751443002296;811;light_right;50;0;1;0;0;1
1751443002296;1751443002691;395;stop;50;50;0;0;0;0
1751443002691;1751443002979;288;forward;50;50;1;0;0;1
1751443002979;1751443003824;845;stop;50;50;0;0;0;0
1751443003824;1751443004992;1168;light_left;0;50;1;0;0;1
1751443004992;1751443005104;112;forward;50;50;1;0;0;1
1751443005104;1751443005893;789;stop;50;50;0;0;0;0
1751443005893;1751443006207;314;forward;50;50;1;0;0;1
1751443006207;1751443006670;463;stop;50;50;0;0;0;0
1751443006670;1751443006787;117;forward;50;50;1;0;0;1
1751443006787;1751443008776;1989;light_left;0;50;1;0;0;1
1751443008776;1751443008884;108;forward;50;50;1;0;0;1
1751443008884;1751443010450;1566;stop;50;50;0;0;0;0
1751443010450;1751443010880;430;light_left;0;50;1;0;0;1
1751443010880;1751443011868;988;forward;50;50;1;0;0;1
1751443011868;1751443012216;348;stop;50;50;0;0;0;0
1751443012216;1751443012465;249;forward;50;50;1;0;0;1
1751443012465;1751443012825;360;light_left;0;50;1;0;0;1
1751443012825;1751443014653;1828;stop;50;50;0;0;0;0
1751443014653;1751443015079;426;backward;50;50;0;1;1;0
1751443015079;1751443016089;1010;stop;50;50;0;0;0;0
1751443016089;1751443016187;98;forward;50;50;1;0;0;1
1751443016187;1751443017904;1717;light_left;0;50;1;0;0;1
1751443017904;1751443018563;659;stop;50;50;0;0;0;0
1751443018563;1751443019960;1397;forward;50;50;1;0;0;1
1751443019960;1751443020775;815;stop;50;50;0;0;0;0
1751443020775;1751443021120;345;stop;0;50;0;0;0;0
1751443021120;1751443022737;1617;light_left;0;50;1;0;0;1
1751443022737;1751443023391;654;stop;50;50;0;0;0;0
1751443023391;1751443024139;748;forward;50;50;1;0;0;1
1751443024139;1751443025557;1418;light_left;0;50;1;0;0;1
1751443025557;1751443025876;319;stop;50;50;0;0;0;0
1751443025876;1751443026371;495;backward;50;50;0;1;1;0
1751443026371;1751443026932;561;stop;50;50;0;0;0;0
1751443026932;1751443027030;98;forward;50;50;1;0;0;1
1751443027030;1751443027680;650;light_left;0;50;1;0;0;1
1751443027680;1751443027789;109;forward;50;50;1;0;0;1
1751443027789;1751443029125;1336;stop;50;50;0;0;0;0
1751443029125;1751443030240;1115;light_left;0;50;1;0;0;1
1751443030240;1751443030955;715;forward;50;50;1;0;0;1
1751443030955;1751443031435;480;stop;50;50;0;0;0;0
1751443031435;1751443032871;1436;light_left;0;50;1;0;0;1
1751443032871;1751443033258;387;stop;0;50;0;0;0;0
1751443033258;1751443033568;310;light_left;0;50;1;0;0;1
1751443033568;1751443034126;558;stop;50;50;0;0;0;0
1751443034126;1751443035047;921;light_left;0;50;1;0;0;1
1751443035047;1751443035604;557;stop;50;50;0;0;0;0
1751443035604;1751443036011;407;light_right;50;0;1;0;0;1
1751443036011;1751443036138;127;forward;50;50;1;0;0;1
1751443036138;1751443036846;708;stop;50;50;0;0;0;0
1751443036846;1751443037234;388;forward;50;50;1;0;0;1
1751443037234;1751443037803;569;stop;50;50;0;0;0;0
1751443037803;1751443037917;114;forward;50;50;1;0;0;1
1751443037917;1751443038251;334;stop;50;0;0;0;0;0
1751443038251;1751443038915;664;light_right;50;0;1;0;0;1
1751443038915;1751443039968;1053;forward;50;50;1;0;0;1
1751443039968;1751443040698;730;light_left;0;50;1;0;0;1
1751443040698;1751443041561;863;forward;50;50;1;0;0;1
1751443041561;1751443044524;2963;light_left;0;50;1;0;0;1
1751443044524;1751443045226;702;stop;50;50;0;0;0;0
